,iso3,cluster,composite_score,cluster_rank,cluster_desc,composite_score_np,country_rank_np
130,MNE,2,0.1164026742275223,6,Lower‑middle performers,0.0596590396786242,81
131,MNG,2,-0.0789992151466058,6,Lower‑middle performers,-0.0672491229966113,100
132,MNP,2,0.0775222702231507,6,Lower‑middle performers,0.0022491359035969,87
133,MOZ,8,-0.3483308906139712,8,Lower‑middle performers,-0.4304802507285609,176
134,MRT,1,-0.2590344093822971,10,Low performers,-0.2916052437507247,151
135,MUS,2,-0.0329735749995779,6,Lower‑middle performers,-0.0375402958410503,95
136,MWI,8,-0.5467433924777059,8,Lower‑middle performers,-0.664221958503437,200
137,MYS,2,0.2433347571689489,6,Lower‑middle performers,0.3364280185249442,46
138,NAM,3,-0.1137719908669888,7,Lower‑middle performers,-0.2377580586187263,137
139,NCL,2,0.0069547574463066,6,Lower‑middle performers,0.0021044042071278,88
140,NER,1,-0.6210828042385413,10,Low performers,-0.6767391647209964,202
141,NGA,1,-0.5691955023617692,10,Low performers,-0.4984441782682046,188
142,NIC,8,-0.3107166413462147,8,Lower‑middle performers,-0.2713250932360903,145
143,NLD,4,0.6191503169716581,4,Upper‑middle performers,0.8250187060433184,17
144,NOR,4,0.6564038819282353,4,Upper‑middle performers,0.8703039569080654,12
145,NPL,8,-0.5504261783196315,8,Lower‑middle performers,-0.6645387867673791,201
146,NRU,2,-0.0882893680943865,6,Lower‑middle performers,-0.1046447648473969,113
147,NZL,4,0.5635427675670127,4,Upper‑middle performers,0.6619483174028341,27
148,OMN,4,0.5375684196187475,4,Upper‑middle performers,0.5842636689910871,32
149,PAK,8,-0.3211172283665774,8,Lower‑middle performers,-0.37200180440956,165
150,PAN,2,0.1212758888270273,6,Lower‑middle performers,0.1932019526610279,60
151,PER,2,-0.1123281289720437,6,Lower‑middle performers,-0.0406156626495928,96
152,PHL,8,-0.0990939744801602,8,Lower‑middle performers,-0.1149469464593259,117
153,PLW,2,-0.0266204332114452,6,Lower‑middle performers,-0.0778249508857567,105
154,PNG,8,-0.5104600236748552,8,Lower‑middle performers,-0.5963977605831483,196
155,POL,2,0.2317265098634582,6,Lower‑middle performers,0.13298238546411,69
156,PRI,2,0.1281932232035937,6,Lower‑middle performers,0.2184017313492395,57
157,PRK,2,-0.1707429046565233,6,Lower‑middle performers,-0.2462094841790775,140
158,PRT,4,0.3231525395040496,4,Upper‑middle performers,0.393138848199738,44
159,PRY,2,-0.1751991182314845,6,Lower‑middle performers,-0.1437760324441659,121
160,PSE,8,-0.3587950111845686,8,Lower‑middle performers,-0.3952092089222579,170
161,PYF,2,0.0163320934632023,6,Lower‑middle performers,-0.0133316403871743,92
162,QAT,4,0.6116447196170377,4,Upper‑middle performers,0.9483076064210022,7
163,ROU,2,0.0389585322446865,6,Lower‑middle performers,0.0450904737372015,83
164,RUS,2,0.2293627769383257,6,Lower‑middle performers,0.1305763079487999,70
165,RWA,8,-0.1526934403902924,8,Lower‑middle performers,-0.2975695379194615,153
166,SAU,4,0.5749853293721032,4,Upper‑middle performers,0.5441431953939695,36
167,SDN,10,-1.224115782306335,11,Lowest‑performing cluster,-1.4607551239669387,216
168,SEN,1,-0.2078581440619007,10,Low performers,-0.2358755454604001,136
169,SGP,4,1.327277147827984,4,Upper‑middle performers,1.9511414447296207,3
170,SLB,8,-0.2743915412135129,8,Lower‑middle performers,-0.4276432513083535,175
171,SLE,1,-0.5771105756469105,10,Low performers,-0.6138118742272027,197
172,SLV,2,-0.0671906637165601,6,Lower‑middle performers,-0.0713015499241409,102
173,SMR,2,0.3920497673755869,6,Lower‑middle performers,0.4457066126520095,40
174,SOM,1,-0.8356851817384094,10,Low performers,-0.7799812320248102,207
175,SRB,2,-0.0188544820546601,6,Lower‑middle performers,-0.1340301884173108,119
176,SSD,8,0.3865127095670875,8,Lower‑middle performers,-0.3673588412071809,164
177,STP,8,-0.195257575537958,8,Lower‑middle performers,-0.2798165741199023,147
178,SUR,2,-0.1551019862328436,6,Lower‑middle performers,-0.2305848439398068,134
179,SVK,2,0.0555039334244003,6,Lower‑middle performers,0.019334371040639,86
180,SVN,4,0.2732481404899196,4,Upper‑middle performers,0.3063273913692756,50
181,SWE,4,0.5319579223260056,4,Upper‑middle performers,0.6475591225294689,29
182,SWZ,3,-0.5697999710942133,7,Lower‑middle performers,-0.7166197891960228,204
183,SXM,2,0.2581342662094719,6,Lower‑middle performers,0.4240204257955239,43
184,SYC,2,0.2117034087464317,6,Lower‑middle performers,0.0866007407217878,74
185,SYR,3,-0.2274723915162445,7,Lower‑middle performers,-0.1657347450850314,126
186,TCA,2,0.0951956385044017,6,Lower‑middle performers,0.1339878937415544,68
187,TCD,1,-0.7688463832532474,10,Low performers,-0.789274351841739,208
188,TGO,8,-0.1630913473086516,8,Lower‑middle performers,-0.3956389249199849,172
189,THA,2,-0.0707972968808055,6,Lower‑middle performers,-0.0483598542543817,98
190,TJK,8,-0.3536815260548732,8,Lower‑middle performers,-0.41316913548753,173
191,TKM,8,-0.2790268215186379,8,Lower‑middle performers,-0.2769297583633358,146
192,TLS,8,-0.7451371807401159,8,Lower‑middle performers,-0.8310667133525537,214
193,TON,2,-0.2060540231528308,6,Lower‑middle performers,-0.3807012872166353,167
194,TTO,2,-0.1195986610711037,6,Lower‑middle performers,-0.1105793092782322,116
195,TUN,3,-0.1551442010675995,7,Lower‑middle performers,-0.2088980824038755,132
196,TUR,2,0.0039519000185549,6,Lower‑middle performers,0.0429548282329736,84
197,TUV,2,-0.1991434439063741,6,Lower‑middle performers,-0.3910263077542127,169
198,TWN,2,0.1138587830646688,6,Lower‑middle performers,0.0006685990477623,89
199,TZA,8,-0.2447375194683698,8,Lower‑middle performers,-0.2887778062719317,150
200,UGA,8,-0.3309245947676127,8,Lower‑middle performers,-0.3954287381170475,171
201,UKR,7,1.3288297268882263,1,Top‑performing cluster,-0.7677467807263927,206
202,URY,4,0.3905225742825096,4,Upper‑middle performers,0.3130410254240189,49
203,USA,6,0.6990095866598406,5,Upper‑middle performers,2.000687365092797,2
204,UZB,8,-0.0825290949124891,8,Lower‑middle performers,-0.1442643314140724,122
205,VCT,3,-0.0210070276221319,7,Lower‑middle performers,-0.2000051262294666,130
206,VEN,9,-0.4286986384130779,9,Low performers,0.3148560938633409,48
207,VGB,2,-0.0431300274090562,6,Lower‑middle performers,-0.0678863088421437,101
208,VIR,2,0.1729955990105033,6,Lower‑middle performers,0.1874254149395137,61
209,VNM,2,-0.0213236267005284,6,Lower‑middle performers,-0.084268963357985,108
210,VUT,8,-0.2676622788326271,8,Lower‑middle performers,-0.4338728394958289,178
211,WSM,8,-0.0947449117270484,8,Lower‑middle performers,-0.296765728454999,152
212,YEM,3,-0.5903477427317174,7,Lower‑middle performers,-0.542215791166398,193
213,ZAF,3,-0.3939600911510579,7,Lower‑middle performers,-0.3312504085547124,158
214,ZMB,8,-0.2440304353171096,8,Lower‑middle performers,-0.3325597427149261,160
215,ZWE,8,-0.6972439352451364,8,Lower‑middle performers,-0.917555359760934,215
