iso3,year,value
AFG,2023,-1.98701369762421
ALB,2023,0.250855356454849
DZA,2023,-0.670135140419006
ASM,2023,0.654167771339417
AND,2023,1.4754387140274
AGO,2023,-1.00890958309174
ATG,2023,0.380410820245743
ARG,2023,-0.377517342567444
ARM,2023,-0.184129968285561
ABW,2023,0.795440852642059
AUS,2023,1.58987963199615
AUT,2023,1.32668149471283
AZE,2023,-0.0326422192156315
BHS,2023,0.270353257656097
BHR,2023,0.697198748588562
BGD,2023,-0.697334110736847
BRB,2023,0.380443245172501
BLR,2023,-0.991465747356415
BEL,2023,1.03702199459076
BLZ,2023,-0.376311779022217
BEN,2023,-0.218984127044678
BMU,2023,1.20168173313141
BTN,2023,0.566305339336395
BOL,2023,-0.639481067657471
BIH,2023,-0.967812538146973
BWA,2023,0.430828422307968
BRA,2023,-0.546764314174652
VGB,2023,
BRN,2023,1.4017870426178
BGR,2023,0.047112051397562
BFA,2023,-0.826227486133575
BDI,2023,-1.20011341571808
CPV,2023,0.0136766647920012
KHM,2023,-0.305874288082123
CMR,2023,-0.906262576580048
CAN,2023,1.51680326461792
CYM,2023,1.2372350692749
CAF,2023,-1.73500919342041
TCD,2023,-1.4791487455368
CHL,2023,0.71755576133728
CHN,2023,0.679014027118683
COL,2023,-0.075877919793129
COM,2023,-1.53510224819183
COD,2023,-1.68906629085541
COG,2023,-1.33428740501404
CRI,2023,0.260196477174759
CIV,2023,-0.359512031078339
HRV,2023,0.712653696537018
CUB,2023,-0.475527822971344
CUW,2023,
CYP,2023,0.73773992061615
CZE,2023,1.1140114068985
DNK,2023,2.01564884185791
DJI,2023,-0.731475412845612
DMA,2023,0.260825008153915
DOM,2023,0.12803441286087
ECU,2023,-0.494244992733002
EGY,2023,-0.239516973495483
SLV,2023,0.0504390224814415
GNQ,2023,-1.32034909725189
ERI,2023,-1.79375612735748
EST,2023,1.2634699344635
SWZ,2023,-0.884958326816559
ETH,2023,-0.768662095069885
FRO,2023,
FJI,2023,0.490778684616089
FIN,2023,1.73860657215118
FRA,2023,1.14462625980377
PYF,2023,
GAB,2023,-0.779809296131134
GMB,2023,-0.590593457221985
GEO,2023,0.791285872459412
DEU,2023,1.18541669845581
GHA,2023,-0.092661589384079
GIB,2023,
GRC,2023,0.148003026843071
GRL,2023,0.763896942138672
GRD,2023,-0.0060560517013073
GUM,2023,0.654167771339417
GTM,2023,-0.897167265415192
GIN,2023,-0.907938599586487
GNB,2023,-1.43258428573608
GUY,2023,-0.294486999511719
HTI,2023,-2.22533392906189
HND,2023,-0.795222759246826
HKG,2023,1.55483567714691
HUN,2023,0.372758895158768
ISL,2023,1.55512094497681
IND,2023,0.47511014342308
IDN,2023,0.58032637834549
IRN,2023,-1.02239692211151
IRQ,2023,-1.38960635662079
IRL,2023,1.59114551544189
IMN,2023,
ISR,2023,1.1453697681427
ITA,2023,0.611036896705627
JAM,2023,0.407290458679199
JPN,2023,1.63126504421234
JOR,2023,0.386213511228561
KAZ,2023,0.146814674139023
KEN,2023,-0.303605198860168
KIR,2023,-0.096573106944561
PRK,2023,-1.48409974575043
KOR,2023,1.40480732917786
KWT,2023,0.0075402706861496
KGZ,2023,-0.890727877616882
LAO,2023,-0.6432785987854
LVA,2023,0.696560978889465
LBN,2023,-1.58038187026978
LSO,2023,-0.953606307506561
LBR,2023,-1.35536432266235
LBY,2023,-1.63588905334473
LIE,2023,1.62781953811646
LTU,2023,1.05012118816376
LUX,2023,1.91421329975128
MAC,2023,1.08997046947479
MDG,2023,-1.02277612686157
MWI,2023,-0.859506547451019
MYS,2023,0.875369668006897
MDV,2023,-0.127973482012749
MLI,2023,-1.13859808444977
MLT,2023,0.397335052490234
MHL,2023,0.069975346326828
MRT,2023,-0.763598620891571
MUS,2023,0.710137605667114
MEX,2023,-0.198361441493034
FSM,2023,0.232347309589386
MDA,2023,-0.164951995015144
MCO,2023,2.02295255661011
MNG,2023,-0.47153577208519
MNE,2023,0.247063115239143
MAR,2023,-0.0359151102602482
MOZ,2023,-0.716628909111023
MMR,2023,-1.75280201435089
NAM,2023,0.0308966562151909
NRU,2023,-0.0678080692887306
NPL,2023,-0.807803750038147
NLD,2023,1.62553191184998
NCL,2023,
NZL,2023,1.5299768447876
NIC,2023,-1.08494555950165
NER,2023,-0.640915930271149
NGA,2023,-0.847906708717346
MKD,2023,-0.0513173453509808
MNP,2023,
NOR,2023,1.79993534088135
OMN,2023,0.274613231420517
PAK,2023,-0.577790379524231
PLW,2023,0.442303985357285
PAN,2023,-0.209720730781555
PNG,2023,-0.802389979362488
PRY,2023,-0.462065368890762
PER,2023,-0.491872787475586
PHL,2023,0.154091909527779
POL,2023,0.421437799930573
PRT,2023,0.987550020217896
PRI,2023,-0.389062345027924
QAT,2023,1.19741261005402
ROU,2023,-0.0926659479737282
RUS,2023,-0.712461888790131
RWA,2023,0.388362646102905
WSM,2023,0.492577105760574
SMR,2023,1.20168173313141
STP,2023,-0.90243524312973
SAU,2023,0.796441078186035
SEN,2023,0.0696751922369003
SRB,2023,0.00763431889936328
SYC,2023,0.624744176864624
SLE,2023,-1.1555837392807
SGP,2023,2.31747198104858
SXM,2023,
SVK,2023,0.229512304067612
SVN,2023,1.03929400444031
SLB,2023,-0.733603537082672
SOM,2023,-1.98020255565643
ZAF,2023,-0.256946682929993
SSD,2023,-2.32788825035095
ESP,2023,0.752065539360046
LKA,2023,-0.25227889418602
KNA,2023,0.380410820245743
LCA,2023,0.0738346204161644
MAF,2023,
VCT,2023,0.0738346204161644
SDN,2023,-1.97706210613251
SUR,2023,-0.967238128185272
SWE,2023,1.60138332843781
CHE,2023,2.13492703437805
SYR,2023,-1.78816211223602
TJK,2023,-0.772318005561829
TZA,2023,-0.455080926418304
THA,2023,0.171705812215805
TLS,2023,-0.841954410076141
TGO,2023,-0.578052043914795
TON,2023,-0.115239478647709
TTO,2023,-0.0436432547867298
TUN,2023,-0.300515085458755
TUR,2023,-0.247911587357521
TKM,2023,-1.2064995765686
TCA,2023,
TUV,2023,-0.449751287698746
UGA,2023,-0.549508571624756
UKR,2023,-0.357320100069046
ARE,2023,1.60428190231323
