country,iso3,year,value
Iraq,IRQ,2023,2.25148890849618
Ireland,IRL,2023,2.70991347020317
Isle of Man,IMN,2023,0.0392163858214135
Israel,ISR,2023,2.06177924891639
Italy,ITA,2023,-0.0342216578672275
Jamaica,JAM,2023,0.0226098931571573
Japan,JPN,2023,-0.487370782049143
Jordan,JOR,2023,1.61225050235636
Kazakhstan,KAZ,2023,1.46415151694869
Kenya,KEN,2023,1.98296028478422
Kiribati,KIR,2023,1.56733842415292
"Korea, Dem. People's Rep.",PRK,2023,0.338821174570736
"Korea, Rep.",KOR,2023,0.077477253324535
Kosovo,XKX,2023,-0.665635964307823
Kuwait,KWT,2023,5.58813678140227
Kyrgyz Republic,KGZ,2023,1.76957754134087
Lao PDR,LAO,2023,1.39237667233214
Latvia,LVA,2023,-0.103172153311714
Lebanon,LBN,2023,0.503630953855672
Lesotho,LSO,2023,1.10328678263994
Liberia,LBR,2023,2.20390696065654
Libya,LBY,2023,1.12674309223491
Liechtenstein,LIE,2023,0.899896422348841
Lithuania,LTU,2023,1.40084461829591
Luxembourg,LUX,2023,2.02002574712319
"Macao SAR, China",MAC,2023,0.221222713921319
Madagascar,MDG,2023,2.46201530433165
Malawi,MWI,2023,2.57135708610945
Malaysia,MYS,2023,1.23402869169549
Maldives,MDV,2023,0.359585188904548
Mali,MLI,2023,2.97400537620334
Malta,MLT,2023,3.91764986035828
Marshall Islands,MHL,2023,-3.16867227675357
Mauritania,MRT,2023,2.96653079197429
Mauritius,MUS,2023,-0.117452949112512
Mexico,MEX,2023,0.872178517508623
"Micronesia, Fed. Sts.",FSM,2023,0.459189928699194
Moldova,MDA,2023,-2.84274212689094
Monaco,MCO,2023,0.064195567574974
Mongolia,MNG,2023,1.3708886685104
Montenegro,MNE,2023,-0.167992320943883
Morocco,MAR,2023,1.02195181223548
Mozambique,MOZ,2023,2.95358093047219
Myanmar,MMR,2023,0.698879396261223
Namibia,NAM,2023,2.50947899094054
Nauru,NRU,2023,0.625107627709329
Nepal,NPL,2023,-0.0700958873206174
Netherlands,NLD,2023,0.990139686700227
New Caledonia,NCL,2023,0.952185123510063
New Zealand,NZL,2023,2.04836808947608
Nicaragua,NIC,2023,1.37167812196347
Niger,NER,2023,3.29489175812772
Nigeria,NGA,2023,2.09838916935738
North Macedonia,MKD,2023,-0.212923714310977
Northern Mariana Islands,MNP,2023,-2.05003835843766
Norway,NOR,2023,1.13818460655469
Oman,OMN,2023,6.52704988451128
Pakistan,PAK,2023,1.54880458608849
Palau,PLW,2023,-0.180352864081089
Panama,PAN,2023,1.30902688797168
Papua New Guinea,PNG,2023,1.81103162496893
Paraguay,PRY,2023,1.23021616038983
